user_id,article_id,article_rating
736,111,1
118,1265,10
1946,2075,6
1649,2138,7
930,1176,8
520,111,2
2846,1297,10
1507,111,10
2939,1408,9
1163,2138,5
618,2138,9
983,1885,7
2750,1052,3
31,2066,6
57,1935,10
498,1881,6
931,326,4
242,111,7
186,897,8
1251,22,1
2189,111,2
2097,2138,2
19,2640,3
620,2465,6
1482,1966,9
431,111,4
390,1073,5
2297,2469,1
701,206,2
1835,312,5
1817,1034,1
2754,2062,3
809,111,5
309,111,4
2616,463,8
2187,2103,10
232,2138,1
417,913,3
2217,1955,8
675,349,6
141,111,4
151,1408,3
2684,2360,7
2258,111,6
2613,1004,3
12,1118,3
1379,2229,4
2265,2314,8
1482,2216,6
690,845,10
1675,1408,9
258,111,6
2483,331,6
2701,2138,1
544,1240,3
911,1712,6
2984,1258,5
1446,2138,9
1383,839,5
1577,1168,1
1003,111,5
1897,18,7
386,2604,7
826,1706,7
1801,111,6
2807,383,6
1191,111,10
1986,768,8
2385,250,10
33,2307,4
875,111,6
216,1446,6
833,2579,3
135,531,3
1530,540,4
1167,1485,8
974,342,4
2302,1639,9
2187,556,1
2695,111,9
2385,2283,9
2807,2637,6
182,2585,2
1223,111,4
1141,111,8
1767,295,5
2878,829,9
1361,64,4
338,426,7
2756,1664,8
1509,111,5
1996,1948,7
1668,2138,7
210,111,5
10,1663,4
2464,344,8
1793,39,8
1173,889,2
1630,111,3
2079,2025,6
2568,2749,1
684,2138,4
2194,1833,5
521,111,7
1387,641,8
2476,1072,4
2390,2265,1
1774,111,5
2162,2333,8
2925,2314,9
1834,111,9
40,1428,3
2476,452,8
2869,212,2
814,550,4
1302,1585,1
2000,761,6
2476,142,9
380,2138,6
1047,2138,7
1406,1083,9
952,1997,6
1306,2138,3
2483,630,2
94,111,2
1354,2354,2
2897,1316,6
1041,124,9
1584,416,2
914,538,10
959,57,2
1673,1353,8
109,201,7
2902,619,1
2476,331,4
873,550,8
100,2389,5
1156,680,10
2280,513,3
1208,268,4
2608,916,5
1936,2710,10
383,1304,6
914,306,4
2440,2637,6
1017,301,4
1662,2564,7
1926,111,3
2691,1529,10
752,605,3
725,1926,7
2858,111,4
1519,786,9
1246,1115,9
1570,619,9
2986,916,2
2486,1444,1
2365,2227,5
2476,2138,8
694,1875,2
182,631,8
2374,2130,7
648,1721,6
1829,1046,6
2873,111,8
237,1789,2
740,2595,8
2646,2201,4
244,997,8
2888,230,2
435,370,5
1352,1419,7
181,623,4
1123,1490,7
1269,501,3
2349,396,6
407,1870,3
808,1087,3
43,2701,8
2675,2558,6
1011,2086,5
167,810,9
1685,1396,5
1520,111,4
2084,111,6
965,1475,3
908,626,2
2105,111,3
2584,513,1
2636,2410,6
1116,2030,2
397,2670,2
327,1956,7
2358,770,6
908,717,5
2079,111,7
2985,649,8
1217,62,5
276,2314,1
171,1493,1
2627,1712,5
85,1425,2
1467,111,6
2268,222,3
1505,696,4
357,2138,6
2997,2039,9
128,2441,9
437,111,4
876,1565,4
308,569,10
2259,1707,2
1269,359,5
1199,2398,5
1120,681,1
2564,2180,10
319,2637,6
1680,2117,1
863,111,1
580,1563,1
2921,111,5
2418,111,9
116,1137,8
2807,2465,10
1728,111,3
2345,1379,8
301,1712,4
1042,111,4
1112,752,5
1730,111,6
544,2314,9
372,1019,2
1639,1452,5
2778,869,3
2452,1422,9
1442,484,1
1558,2711,7
299,111,10
2998,1055,1
1955,1707,7
595,2054,6
2270,258,6
1909,1610,2
2584,2138,9
2814,716,5
483,2138,10
2998,1117,10
138,1357,1
793,2138,8
2049,2454,7
283,1784,4
999,50,6
2203,1900,2
1387,2752,2
1142,111,5
1183,111,8
1441,2138,5
1843,111,7
2395,111,9
2171,111,8
71,111,4
301,2138,3
2848,1446,5
871,534,2
2637,1833,7
317,294,4
563,111,1
1642,175,8
1605,1512,4
110,544,10
2760,508,6
2776,2,10
2055,1513,6
2432,1445,2
1191,527,2
2005,770,8
1828,908,10
1878,1426,4
1022,111,10
2807,1082,3
1144,2028,5
682,1820,4
2029,993,2
1094,800,9
2099,1208,2
772,111,8
1555,255,6
2775,676,10
1715,688,10
9,212,5
890,1094,10
2476,2218,9
2476,341,4
720,847,5
185,896,4
933,1329,9
2389,1584,10
755,2693,3
676,795,9
1221,812,3
2743,697,4
2757,125,5
2093,1288,5
25,111,1
2075,2314,5
26,112,6
135,1348,8
2208,111,9
1350,2499,2
1280,935,2
1956,1176,8
24,111,10
139,111,1
1277,111,8
75,1702,9
1996,504,2
397,2511,2
485,331,4
1338,735,9
1704,111,5
2059,2138,7
2088,827,7
2309,111,5
1379,268,5
388,2644,3
740,111,5
420,2659,10
2807,741,9
1312,892,4
1135,1712,4
1312,1899,3
804,1408,1
637,331,5
690,457,1
1459,55,10
1019,891,8
171,1844,2
2435,721,6
2094,1833,10
2538,435,5
150,1033,5
1835,2415,5
1246,2275,7
2416,865,2
2340,714,7
192,1288,1
1406,1408,9
1994,2074,3
725,2138,8
1023,1712,10
611,838,3
2866,2597,7
483,2446,3
2737,111,9
2289,111,7
959,477,7
2608,1319,10
827,2138,6
1358,441,3
2751,631,5
